18/07/2019 - 10:40:06 PM	Derp(Joining/Connecting) connected from the server
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001b.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_c17/fence01a.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001b.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_c17/fence01a.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001b.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001b.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001b.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/hunter/blocks/cube2x2x2.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:47 PM	RICARDO(Citizen) spawned a 'models/props_lab/blastdoor001c.mdl'
18/07/2019 - 10:42:49 PM	William(Weed Grower) used ULX command ' unragdoll william'
18/07/2019 - 10:42:53 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:42:55 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:42:56 PM	William(Weed Grower) entered 'gm_giveswep'
18/07/2019 - 10:42:57 PM	[KILL] William(Weed Grower) killed BexGasm(Citizen) with 240 damage using fas2_ks23
18/07/2019 - 10:43:01 PM	RICARDO(Citizen) used 'fading_door'
18/07/2019 - 10:43:18 PM	RICARDO(Citizen) used 'wire_user'
18/07/2019 - 10:43:18 PM	William(Weed Grower) used FAdmin command 'message' on BexGasm(Citizen)
18/07/2019 - 10:43:19 PM	RICARDO(Citizen) used 'wire_user'
18/07/2019 - 10:43:31 PM	RICARDO(Citizen) used 'wire_gates'
18/07/2019 - 10:43:35 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:36 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:36 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:36 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:36 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:37 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:38 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:38 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:38 PM	RICARDO(Citizen) used 'wire_adv'
18/07/2019 - 10:43:53 PM	RICARDO(Citizen) bought 'Gold Printer' for $200000
18/07/2019 - 10:43:57 PM	BexGasm(Citizen) said '!pm will :3'
18/07/2019 - 10:44:01 PM	BexGasm(Citizen) said '!god BexGasm'
18/07/2019 - 10:44:01 PM	BexGasm(Citizen) used ULX command ' god BexGasm'
18/07/2019 - 10:44:05 PM	BexGasm(Citizen) spawned a 'models/props_c17/oildrum001.mdl'
18/07/2019 - 10:44:09 PM	RICARDO(Citizen) bought 'Silver Printer' for $3500
18/07/2019 - 10:44:17 PM	BexGasm(Citizen) said '!jail @ 120'
18/07/2019 - 10:44:17 PM	BexGasm(Citizen) used ULX command ' jail @ 120'
18/07/2019 - 10:44:18 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:21 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:22 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:22 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:23 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:26 PM	Dio(Citizen) used FAdmin command 'jail' on himself
18/07/2019 - 10:44:27 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:42 PM	[HURT] BexGasm(Citizen) hurt Dio(Citizen) with 54 damage using fas2_galil
18/07/2019 - 10:44:42 PM	[KILL] BexGasm(Citizen) killed Dio(Citizen) with 54 damage using fas2_galil
18/07/2019 - 10:44:42 PM	[HURT] BexGasm(Citizen) hurt Dio(Citizen) with 54 damage using fas2_galil
18/07/2019 - 10:44:54 PM	Dio(Citizen) used FAdmin command 'unjail' on himself
18/07/2019 - 10:44:54 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:44:57 PM	BexGasm(Citizen) said '!unjail dio'
18/07/2019 - 10:44:57 PM	BexGasm(Citizen) used ULX command ' unjail dio'
18/07/2019 - 10:45:03 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:03 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:05 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:06 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:09 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:11 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:14 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:15 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:18 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:22 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:23 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:24 PM	[HURT] The world hurt BexGasm(Citizen) with 37 damage using fall damage
18/07/2019 - 10:45:24 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:26 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:29 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:31 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:31 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:32 PM	[HURT] The world hurt RICARDO(Citizen) with 25 damage using fall damage
18/07/2019 - 10:45:33 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:34 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:38 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:45:41 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) changed his team from 'Citizen' to 'Robber'
18/07/2019 - 10:45:59 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:46:09 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:46:19 PM	[HURT] (͠≖ ͜ʖ͠≖) (DC)(Robber) hurt BexGasm(Citizen) with 48 damage using m9k_model627
18/07/2019 - 10:46:29 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:46:29 PM	[HURT] RICARDO(Citizen) hurt (͠≖ ͜ʖ͠≖) (DC)(Robber) with 10 damage using prop_vehicle_jeep
18/07/2019 - 10:46:30 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:46:30 PM	[HURT] The world hurt BexGasm(Citizen) with 42 damage using fall damage
18/07/2019 - 10:46:30 PM	[HURT] RICARDO(Citizen) hurt (͠≖ ͜ʖ͠≖) (DC)(Robber) with 5 damage using prop_vehicle_jeep
18/07/2019 - 10:46:30 PM	[HURT] RICARDO(Citizen) hurt BexGasm(Citizen) with 10 damage using prop_vehicle_jeep
18/07/2019 - 10:46:54 PM	[HURT] (͠≖ ͜ʖ͠≖) (DC)(Robber) hurt BexGasm(Citizen) with 51 damage using m9k_model627
18/07/2019 - 10:46:55 PM	RICARDO(Citizen) entered 'vc_drivebymode_toggle'
18/07/2019 - 10:46:58 PM	[HURT] The world hurt BexGasm(Citizen) with 37 damage using fall damage
18/07/2019 - 10:47:16 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) said '/advert car jack'
18/07/2019 - 10:47:27 PM	BexGasm(Citizen) entered 'gm_giveswep'
18/07/2019 - 10:47:38 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) lockpicked 'prop_vehicle_jeep'. Success : 'no'
18/07/2019 - 10:47:40 PM	[HURT] BexGasm(Citizen) hurt RICARDO(Citizen) with 25 damage using weapon_deagle2
18/07/2019 - 10:47:40 PM	[HURT] BexGasm(Citizen) hurt RICARDO(Citizen) with 0 damage using weapon_deagle2
18/07/2019 - 10:47:48 PM	BexGasm(Citizen) entered 'gm_giveswep'
18/07/2019 - 10:47:58 PM	William(Weed Grower) entered 'FSpectate'
18/07/2019 - 10:48:01 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) lockpicked 'prop_vehicle_jeep'. Success : 'no'
18/07/2019 - 10:48:20 PM	William(Weed Grower) entered 'FSpectate_StopSpectating'
18/07/2019 - 10:48:44 PM	William(Weed Grower) entered 'gm_giveswep'
18/07/2019 - 10:48:51 PM	William(Weed Grower) used 'creator'
18/07/2019 - 10:48:51 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) lockpicked 'prop_vehicle_jeep'. Success : 'no'
18/07/2019 - 10:48:56 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:05 PM	BexGasm(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:08 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:08 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:09 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:10 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:13 PM	The Companion Cube(Joining/Connecting) connected from the server
18/07/2019 - 10:49:18 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) entered 'FPP_SetBuddy'
18/07/2019 - 10:49:19 PM	Littl3Drumm3rBoi(Joining/Connecting) connected from the server
18/07/2019 - 10:49:24 PM	RICARDO(Citizen) said '!hp ricar 100'
18/07/2019 - 10:49:24 PM	RICARDO(Citizen) used ULX command ' hp ricar 100'
18/07/2019 - 10:49:52 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:49:56 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:50:07 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:50:15 PM	William(Weed Grower) entered 'VC_GetSettings_Sv'
18/07/2019 - 10:50:21 PM	William(Weed Grower) entered 'VC_GetSettings_Sv'
18/07/2019 - 10:50:22 PM	William(Weed Grower) entered 'VC_GetSettings_Sv'
18/07/2019 - 10:50:22 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:50:26 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:50:34 PM	RICARDO(Citizen) used ULX command ' noclip'
18/07/2019 - 10:51:06 PM	The Companion Cube(Citizen) said '/ooc the n word'
18/07/2019 - 10:51:13 PM	RICARDO(Lean Producer) changed his team from 'Citizen' to 'Lean Producer'
18/07/2019 - 10:51:13 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) said '/a BrUH MoMeNT'
18/07/2019 - 10:51:31 PM	The Companion Cube(Citizen) said '/ooc u are the n word'
18/07/2019 - 10:51:42 PM	(͠≖ ͜ʖ͠≖) (DC)(Robber) said '/a i'm white as hell'
18/07/2019 - 10:52:23 PM	The Companion Cube(Lean Producer) changed his team from 'Citizen' to 'Lean Producer'
18/07/2019 - 10:52:26 PM	RICARDO(Lean Producer) entered 'vc_drivebymode_toggle'
18/07/2019 - 10:52:37 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:52:38 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:52:43 PM	RICARDO(Lean Producer) bought 'Tip Jar' for $0
18/07/2019 - 10:52:51 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:52:52 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:52:56 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:52:56 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:52:56 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:52:57 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:02 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:02 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:02 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:02 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:03 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:03 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:03 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:03 PM	UG | M A S T E R(Citizen) entered 'gm_spawnsent'
18/07/2019 - 10:53:06 PM	RICARDO(Lean Producer) bought 'Lean Barrel' for $65000
18/07/2019 - 10:53:09 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:09 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:09 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:09 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:10 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:10 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:10 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:10 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:11 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:11 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:11 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:11 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:11 PM	UG | M A S T E R(Citizen) used 'creator'
18/07/2019 - 10:53:19 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:19 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:20 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:21 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:21 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:21 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:21 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:22 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:22 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:23 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:23 PM	UG | M A S T E R(Citizen) used 'remover'
18/07/2019 - 10:53:30 PM	RICARDO(Lean Producer) bought 'Lean Crate' for $6000
18/07/2019 - 10:53:34 PM	RICARDO(Lean Producer) bought 'Bronze Printer' for $1500
18/07/2019 - 10:53:38 PM	UG | M A S T E R(Citizen) used FAdmin command 'teleport' on William(Weed Grower)
18/07/2019 - 10:53:55 PM	UG | M A S T E R(Weed Grower) changed his team from 'Citizen' to 'Weed Grower'
18/07/2019 - 10:53:56 PM	RICARDO(Lean Producer) entered 'gm_giveswep'
18/07/2019 - 10:54:12 PM	UG | M A S T E R(Weed Grower) said '/pm will $164700'
18/07/2019 - 10:54:19 PM	UG | M A S T E R(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:54:21 PM	RICARDO(Lean Producer) used 'stacker_improved'
18/07/2019 - 10:54:21 PM	RICARDO(Lean Producer) spawned a 'models/props_c17/fence01a.mdl'
18/07/2019 - 10:54:24 PM	RICARDO(Lean Producer) used 'stacker_improved'
18/07/2019 - 10:54:24 PM	RICARDO(Lean Producer) spawned a 'models/props_c17/fence01a.mdl'
18/07/2019 - 10:54:28 PM	UG | M A S T E R(Weed Grower) said '/teleport will'
18/07/2019 - 10:54:28 PM	UG | M A S T E R(Weed Grower) used FAdmin command 'teleport' on William(Weed Grower)
18/07/2019 - 10:54:29 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:30 PM	UG | M A S T E R(Weed Grower) said 'now'
18/07/2019 - 10:54:32 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:34 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:36 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:39 PM	UG | M A S T E R(Weed Grower) said 'this is the actually block'
18/07/2019 - 10:54:50 PM	William(Weed Grower) said 'thats the perfect block of weed which is hard to get'
18/07/2019 - 10:54:51 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:53 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:55 PM	UG | M A S T E R(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:54:55 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:58 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:54:59 PM	William(Weed Grower) said 'u would need to make ur weed like perfectly'
18/07/2019 - 10:55:00 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:55:04 PM	William(Weed Grower) said 'not a single mistake'
18/07/2019 - 10:55:09 PM	William(Weed Grower) said 'not a single nanosecond wasted'
18/07/2019 - 10:55:21 PM	UG | M A S T E R(Weed Grower) said 'I wanna tell you something about making one mistake'
18/07/2019 - 10:55:24 PM	William(Weed Grower) said 'yes'
18/07/2019 - 10:55:26 PM	UG | M A S T E R(Weed Grower) entered 'gm_giveswep'
18/07/2019 - 10:55:26 PM	[KILL] UG | M A S T E R(Weed Grower) killed William(Weed Grower) with 108649080 damage using overpowered_minigun
18/07/2019 - 10:55:36 PM	Blumbing(Citizen) said '// i won again'
18/07/2019 - 10:55:39 PM	William(Gangster) changed his team from 'Weed Grower' to 'Gangster'
18/07/2019 - 10:55:44 PM	UG | M A S T E R(Weed Grower) said '!goto blum'
18/07/2019 - 10:55:44 PM	UG | M A S T E R(Weed Grower) used ULX command ' goto blum'
18/07/2019 - 10:55:51 PM	William(Gangster) said 'he won twice today'
18/07/2019 - 10:55:52 PM	UG | M A S T E R(Weed Grower) said '!slay @'
18/07/2019 - 10:55:52 PM	UG | M A S T E R(Weed Grower) used ULX command ' slay @'
18/07/2019 - 10:55:52 PM	[KILL] Blumbing(Citizen) killed himself
18/07/2019 - 10:55:54 PM	William(Gangster) said 'lmao'
18/07/2019 - 10:56:03 PM	UG | M A S T E R(Weed Grower) said 'So time to remove this'
18/07/2019 - 10:56:08 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:56:09 PM	William(Gangster) said 'no no no'
18/07/2019 - 10:56:11 PM	William(Gangster) said 'leave it there'
18/07/2019 - 10:56:15 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:56:19 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:56:19 PM	UG | M A S T E R(Weed Grower) said 'nope'
18/07/2019 - 10:56:24 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:56:24 PM	William(Gangster) said 'dude wtf'
18/07/2019 - 10:56:28 PM	UG | M A S T E R(Weed Grower) used 'stacker_improved'
18/07/2019 - 10:56:28 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:56:37 PM	William(Gangster) said 'im getting script errors because of what u did '
18/07/2019 - 10:56:40 PM	Littl3Drumm3rBoi(Citizen) said 'how do you play'
18/07/2019 - 10:56:45 PM	UG | M A S T E R(Weed Grower) entered 'gm_spawnsent'
18/07/2019 - 10:56:47 PM	William(Gangster) said 'it was UG lol'
18/07/2019 - 10:57:01 PM	William(Gangster) said 'ill give u the money'
18/07/2019 - 10:57:12 PM	UG | M A S T E R(Weed Grower) used 'permaprops'
18/07/2019 - 10:57:14 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:57:15 PM	RICARDO(Lean Producer) used ULX command ' noclip'
18/07/2019 - 10:57:18 PM	RICARDO(Lean Producer) bought 'Small Lean Box' for $2000
18/07/2019 - 10:57:19 PM	William(Gangster) said '/addmoney blumbing 1700000'
18/07/2019 - 10:57:22 PM	William(Gangster) said '/addmoney blumbing 17000000'
18/07/2019 - 10:57:27 PM	RICARDO(Lean Producer) bought 'Lean Crate' for $6000
18/07/2019 - 10:57:27 PM	William(Gangster) said 'no problem'
18/07/2019 - 10:57:33 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:57:34 PM	UG | M A S T E R(Weed Grower) said 'Kill me'
18/07/2019 - 10:57:35 PM	William(Gangster) said 'that was pretty good'
18/07/2019 - 10:57:35 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:57:43 PM	William(Gangster) said 'he won this shit twice in one day dude'
18/07/2019 - 10:58:02 PM	William(Gangster) said 'its not easy to win tho its really hard u have a 13% chance of winning if u play it 250 times'
18/07/2019 - 10:58:05 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:07 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:09 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:11 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:38 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:41 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:43 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 10:58:45 PM	RICARDO(Lean Producer) bought 'Lean Cup' for $250
18/07/2019 - 11:00:37 PM	UG | M A S T E R(Weed Grower) said 'Bet all you'r cash'
18/07/2019 - 11:01:48 PM	RICARDO(Lean Producer) entered 'vc_drivebymode_toggle'
18/07/2019 - 11:02:00 PM	William(Gangster) used 'textscreen'
18/07/2019 - 11:02:02 PM	William(Gangster) used 'textscreen'
18/07/2019 - 11:02:03 PM	William(Gangster) used 'textscreen'
18/07/2019 - 11:02:07 PM	William(Gangster) used 'textscreen'
18/07/2019 - 11:02:18 PM	William(Gangster) used 'permaprops'
18/07/2019 - 11:02:33 PM	RICARDO(Lean Producer) entered 'vc_drivebymode_toggle'
18/07/2019 - 11:02:37 PM	RICARDO(Lean Producer) entered 'vc_drivebymode_toggle'
18/07/2019 - 11:02:47 PM	William(Gangster) entered 'FSpectate'
